nutCode;charactName;sort;depthLevel;mandatory;optionnal;bold;gda;ul;unit;showGDAPerc
SUGAD;Added sugars;;;;;;;;;
ALC;Alcohol (ethanol);;;;;;;;;
CARTA;Alpha-Carot;;;;;;;;;
ASH;Ash;;;;;;;;;
CARTB;Beta-caroten;;;;;;;;;
CRYPX;Beta-Crypt;;;;;;;;;
CAFFN;Caffein;;;;;;;;;
CA;Calcium, Ca;;1;false;true;false;800;;;true
CHOAVL;Carbohydrate, by difference;;;;;;;;g;
CHO-;Carbohydrate, by difference (with fiber);5;1;true;false;false;310;;;true
CHOL-;Cholesterol;;2;false;true;false;;;;
CHOLN;CholineTot;;;; ;;;;;
CR;Chromium;;1;false;true;false;200;;;true
CU;Copper;;1;false;true;false;3;;;true
ENER-E14;Energy kcal;;;;;;;;;
ENER-KJO;Energy kJ;1;1;true;false;false;8700;;kJ;true
ENER-;Energy kJ, without dietary fibre;;;;;;;;;
F10D0;FA 10:0, capric;;;;;;;;;
F12D0;FA 12:0, lauric;;;;;;;;;
F14D0;FA 14:0 , myristic;;;;;;;;;
F16D0;FA 16:0, palmitic;;;;;;;;;
F18D0;FA 18:0, stearic;;;;;;;;;
F18D1CN9;FA 18:1 n-9 cis, oleic;;;;;;;;;
F18D1CN6;FA 18:2 9c,12c (n-6), linoleic;;;;;;;;;
F18D3N3;FA 18:3 c9,c12,c15 (n-3), alpha-linolenic;;;;;;;;;
F20D4;FA 20:4 5c,8c,11c,14c (n-6), arachidonic;;;;;;;;;
F20D5N3;FA 20:5 5c,8c,11c,14c,17c (n-3), EPA;;;;;;;;;
F22D5N3;FA 22:5 7c,10c,13c,16c,19c (n-3), DPA;;;;;;;;;
F22D6N3;FA 22:6 4c,7c,10c,13c,16c,19c (n-3), DHA;;;;;;;;;
F4D0;FA 4:0, butyric;;;;;;;;;
F6D0;FA 6:0, caproic;;;;;;;;;
F8D0;FA 8:0, caprylic;;;;;;;;;
FAMSCIS;Fatty acids, total monounsaturated;;2;false;true;false;;;;
FAPUCIS;Fatty acids, total polyunsaturated;;2;false;true;false;;;;
FASAT;Fatty acids, total saturated;4;2;true;false;false;24;;g;true
FIBTG;Fiber, total dietary;;1;false;true;false;30;;;true
FOLDFE;Folate DFE;;;;;;;;;
FOLFD;Folate natural;;;;;;;;;
FOLAC;Folic acid;;;;;;;;;
FOL;Food folate;;1;false;true;false;200;;;true
FIBINS;Insoluble fiber;;;;;;;;;
ID;Iodine;;1;false;true;false;150;;;true
FE;Iron, Fe;;1;false;true;false;12;;;true
LYCPN;Lycopene;;;;;;;;;
MG;Magnesium, Mg;;1;false;true;false;320;;;true
MN;Manganese;;1;false;true;false;5;;;true
NIA;Niacin;;1;false;true;false;10;;;true
NIAEQ;Niacine (derived equivalents);;;;;;;;;
PSACNS;NSP Fiber;;;;;;;;;
OA;Organic acids, total;;;;;;;;;
PANTAC;Panto acid;;1;false;true;false;5;;;true
P;Phosphorus, P;;1;false;true;false;1000;;;true
POLYL;Polyols total;;;;;;;;;
K;Potassium, k;;2;false;true;false;;;;
PRO-;Protein;2;1;true;false;false;50;;g;true
CARTBEQ;Provitamin A (b-carotene equivalents);;;;;;;;;
PROCNT;Raw proteins (N x 6.25);;;;;;;;;
RETOL;Retinol;;;;;;;;;
RIBF;Riboflavin;;1;false;true;false;1,7;;;true
NACL;Salt;;;;;;;;;
SE;Selenium;;1;false;true;false;70;;;true
NA;Sodium, Na;7;1;true;false;false;2300;;mg;true
FIBSOL;Soluble fiber;;;;;;;;;
STARCH;Starch;;;;;;;;;
SUGAR;Total Sugars;6;2;true;false;false;90;;g;true
THIA;Thiamin;;1;false;true;false;1,1;;;true
FAT;Total lipid (fat);3;1;true;false;false;70;;g;true
FAPUN3F;Total omega 3 fatty acids;;2;false;true;false;;;;
FATRN;Total trans fatty acids;;2;false;true;false;;;;
TRP;Tryptophan;;;;;;;;;
VITA-;Vitamin A;;1;false;true;false;750;;;true
VITA;Vitamin A retinol equivalents;;;;;;;;;
VITA-IU;Vitamin A, IU;;;;;;;;;
VITA-RAE;Vitamin A, RAE;;;;;;;;;
VITB12;Vitamin B-12;;1;false;true;false;2;;;true
VITB6-;Vitamin B-6;;1;false;true;false;1,6;;;true
BIOT;Vitamin B7 (Biotin);;1;false;true;false;30;;;true
VITC-;Vitamin C, total ascorbic acid;;1;false;true;false;40;;;true
VITD-;VITAMIN D;;1;false;true;false;10;;;true
VITDEQ;Vitamin D (D2 + D3);;;;;;;;;
VITE-;Vitamin E;;1;false;true;false;10;;;true
TOCPHA;Vitamin E (alpha-tocopherol);;;;;;;;;
VITK1;Vitamin K (phylloquinone);;1;false;true;false;80;;;true
VITK2;Vitamin K2;;;;;;;;;
WATER;Water;;;;;;;;;
ZN;Zinc, Zn;;1;false;true;false;12;;;true
